,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
111,Stafanie Taylor,67,2417.0,West Indies,2478,79,38,242,1012,947,125,8,2.0,17.0,17.0,150.0,67,67,97.53833736884584,31.367088607594937,8.85,58.36520076481836,30.59493670886076,40.839386602098465,2010,2024,Taylor,S Taylor
112,Shamilia Connell,15,60.0,West Indies,70,5,2,2,26,32,4,0,0.0,0.0,0.0,15.0,15,15,85.71428571428571,14.0,17.5,64.51612903225806,12.0,37.142857142857146,2015/16,2024,Connell,S Connell
113,Suzie Bates,98,3913.0,New Zealand,3527,118,40,436,1308,1312,271,25,9.0,18.0,19.0,248.0,98,98,110.94414516586335,29.889830508474578,7.409663865546219,66.1522633744856,33.16101694915254,37.08534165012758,2009,2024,Bates,S Bates
114,Saarah Smith,2,4.0,South Africa,8,2,0,0,4,4,0,0,0.0,0.0,0.0,4.0,2,2,50.0,4.0,8.0,50.0,2.0,50.0,2018,2018,Smith,S Smith
115,Sadaf Shamas,7,54.0,Pakistan,73,6,0,9,43,16,1,0,0.0,0.0,1.0,35.0,7,7,73.97260273972603,12.166666666666666,8.11111111111111,30.0,9.0,58.9041095890411,2022/23,2024,Shamas,S Shamas
116,Sadia Iqbal,7,15.0,Pakistan,33,6,0,2,22,7,0,0,0.0,0.0,0.0,8.0,7,7,45.45454545454545,5.5,16.5,24.137931034482758,2.5,66.66666666666666,2019/20,2024,Iqbal,S Iqbal
117,Shafali Verma,80,2405.0,India,1882,89,79,297,748,594,73,1,2.0,15.0,12.0,146.0,80,80,127.78958554729012,21.146067415730336,5.00531914893617,52.47175141242938,27.02247191011236,39.744952178533474,2019/20,2024,Verma,S Verma
118,Sultana Khatun,9,67.0,Bangladesh,70,5,0,8,29,22,5,1,0.0,0.0,0.0,28.0,9,9,95.71428571428572,14.0,8.75,61.40350877192983,13.4,41.42857142857143,2023/24,2024,Khatun,S Khatun
119,Shorna Akter,21,248.0,Bangladesh,301,16,4,18,131,109,17,3,0.0,0.0,1.0,31.0,21,21,82.39202657807309,18.8125,13.681818181818182,58.46153846153847,15.5,43.521594684385384,2022/23,2024,Akter,S Akter
120,Sultana Khatun,7,31.0,Bangladesh,45,5,0,3,24,15,2,0,0.0,0.0,0.0,12.0,7,7,68.88888888888889,9.0,15.0,46.34146341463415,6.2,53.333333333333336,2023,2024,Khatun,S Khatun
121,Syeda Aroob Shah,4,6.0,Pakistan,15,2,0,0,10,4,1,0,0.0,0.0,0.0,3.0,4,4,40.0,7.5,15.0,40.0,3.0,66.66666666666666,2019/20,2024,Shah,S Shah
122,T Bhatia,22,238.0,India,295,35,0,23,127,120,13,0,0.0,0.0,1.0,46.0,22,22,80.67796610169492,8.428571428571429,12.826086956521738,56.15384615384615,6.8,43.050847457627114,2017/18,2022,Bhatia,T Bhatia
123,Tazmin Brits,50,1544.0,South Africa,1483,59,20,179,633,509,86,9,1.0,12.0,9.0,140.0,50,50,104.11328388401888,25.135593220338983,7.452261306532663,57.235246564268394,26.16949152542373,42.68374915711396,2018,2024,Brits,T Brits
124,Tahlia McGrath,32,963.0,Australia,729,21,16,133,271,242,42,3,0.0,7.0,6.0,91.0,32,32,132.0987654320988,34.714285714285715,4.89261744966443,60.0358422939068,45.857142857142854,37.174211248285324,2021/22,2023/24,McGrath,T McGrath
125,Tumi Sekhukhune,4,11.0,South Africa,29,6,0,0,16,11,0,0,0.0,0.0,0.0,6.0,4,4,37.93103448275862,4.833333333333333,29.0,40.74074074074074,1.8333333333333333,55.172413793103445,2018/19,2019/20,Sekhukhune,T Sekhukhune
126,Tuba Hassan,10,60.0,Pakistan,60,5,1,5,25,20,7,0,0.0,0.0,0.0,28.0,10,10,100.0,12.0,10.0,65.38461538461539,12.0,41.66666666666667,2022,2024,Hassan,T Hassan
127,Kaveesha Dilhari,45,524.0,Sri Lanka,508,36,3,51,193,191,48,5,0.0,2.0,3.0,51.0,45,45,103.14960629921259,14.11111111111111,9.407407407407407,69.10755148741418,14.555555555555555,37.99212598425197,2018,2024,Dilhari,K Dilhari
128,Yastika Bhatia,14,214.0,India,247,13,2,24,124,76,15,0,0.0,0.0,2.0,36.0,14,14,86.63967611336032,19.0,9.5,49.30232558139535,16.46153846153846,50.20242914979757,2021/22,2024,Bhatia,Y Bhatia
129,Zaida James,7,49.0,West Indies,72,5,2,3,40,15,5,0,0.0,0.0,0.0,21.0,7,7,68.05555555555556,14.4,14.4,41.66666666666667,9.8,55.55555555555556,2022/23,2024,James,Z James
