,batsman,innings,runs,batting_team,ball,dismissals,sixes,fours,dots,ones,twos,threes,hundreds,fifties,thirties,highest_score,matches_x,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,surname,initial
25,C Brits,3,72.0,South Africa,70,3,1,7,27,28,5,0,0.0,0.0,2.0,36.0,3,3,102.85714285714285,23.333333333333332,8.75,63.33333333333333,24.0,38.57142857142858,2011/12,2012/13,Brits,C Brits
26,Chinelle Henry,42,490.0,West Indies,600,39,3,40,259,222,39,4,0.0,0.0,2.0,42.0,42,42,81.66666666666667,15.384615384615385,13.953488372093023,59.541984732824424,12.564102564102564,43.166666666666664,2013/14,2024,Henry,C Henry
27,Charlie Dean,10,126.0,England,114,6,0,12,30,58,10,0,0.0,0.0,1.0,34.0,10,10,110.5263157894737,19.0,9.5,79.59183673469387,21.0,26.31578947368421,2022/23,2024,Dean,C Dean
28,Chloe Tryon,66,1409.0,South Africa,1039,71,60,126,358,358,92,1,0.0,9.0,10.0,86.0,66,66,135.6111645813282,14.633802816901408,5.586021505376344,67.36711990111249,19.845070422535212,34.45620789220404,2011/12,2024,Tryon,C Tryon
29,Chedean Nation,39,791.0,West Indies,857,41,17,59,394,265,88,4,2.0,2.0,2.0,126.0,39,39,92.29871645274213,20.902439024390244,11.276315789473685,60.31957390146472,19.29268292682927,45.97432905484247,2009/10,2024,Nation,C Nation
30,CS Fraser,8,27.0,West Indies,51,4,1,1,31,11,3,0,0.0,0.0,0.0,8.0,8,8,52.94117647058824,12.75,25.5,37.77777777777778,6.75,60.78431372549019,2022,2024,Fraser,C Fraser
31,Darcie Brown,2,6.0,Australia,3,0,0,1,1,0,1,0,0.0,0.0,0.0,6.0,2,2,200.0,3.0,3.0,100.0,3.0,33.33333333333333,2022/23,2023/24,Brown,D Brown
32,Dayalan Hemalatha,21,302.0,India,286,20,8,30,121,96,19,0,0.0,0.0,4.0,47.0,21,21,105.5944055944056,14.3,7.526315789473684,56.779661016949156,15.1,42.30769230769231,2018/19,2024,Hemalatha,D Hemalatha
33,D Joseph,6,28.0,West Indies,77,6,0,2,51,16,2,0,0.0,0.0,0.0,11.0,6,6,36.36363636363637,12.833333333333334,38.5,28.985507246376812,4.666666666666667,66.23376623376623,2022/23,2023,Joseph,D Joseph
34,Deepti Sharma,73,1355.0,India,1378,60,8,113,419,673,91,0,0.0,5.0,11.0,98.0,73,73,98.33091436865021,22.966666666666665,11.388429752066116,72.27387996618766,22.583333333333332,30.406386066763424,2015/16,2024,Sharma,D Sharma
35,Darcey Carter,15,311.0,Scotland,320,14,5,31,145,88,27,5,0.0,2.0,3.0,54.0,15,15,97.1875,22.857142857142858,8.88888888888889,59.24528301886792,22.214285714285715,45.3125,2023,2024,Carter,D Carter
36,Deandra Jalisa S Dottin,62,2001.0,West Indies,1696,70,80,194,735,486,116,9,1.0,14.0,11.0,180.0,62,62,117.98349056603774,24.228571428571428,6.189781021897811,55.34918276374443,28.585714285714285,43.3372641509434,2009/10,2021,Dottin,D Dottin
37,Danni Wyatt,118,3638.0,England,2840,145,57,453,974,999,207,22,8.0,16.0,19.0,248.0,118,118,128.09859154929578,19.586206896551722,5.568627450980392,67.16621253405994,25.089655172413792,34.29577464788732,2011,2024,Wyatt,D Wyatt
38,Dani Gibson,13,133.0,England,100,8,1,19,33,41,5,0,0.0,0.0,1.0,41.0,13,13,133.0,12.5,5.0,64.55696202531645,16.625,33.0,2023,2024,Gibson,D Gibson
