player_id,batsman,innings,runs,ball,dismissals,sixes,fours,dots,ones,twos,threes,SR,BPD,BPB,NBDRY_SR,AVG,Dot_percentage
1677,T Piakura,1,10,12,1,0,2,6,2,0,0,83.33333333,12,6,25,10,50
1678,T Putthawong,14,129,174,9,0,13,91,49,11,2,74.13793103,19.33333333,13.38461538,50.32679739,14.33333333,52.29885057
1679,T Ramabitsa,5,38,78,8,0,6,48,14,0,0,48.71794872,9.75,13,22.58064516,4.75,61.53846154
1680,T Rodriguez,4,4,20,4,0,0,15,4,0,0,20,5,20,21.05263158,1,75
1681,T Ruma,28,838,1027,33,16,66,462,316,69,8,81.59688413,31.12121212,12.52439024,55.90643275,25.39393939,44.98539435
1682,T Sarada,1,1,5,1,0,0,3,1,0,0,20,5,5,25,1,60
1683,T Shabani,1,3,2,1,0,0,0,1,1,0,150,2,2,150,3,0
1684,T Shadrack,30,249,503,25,0,12,292,109,40,4,49.50298211,20.12,41.91666667,45.16853933,9.96,58.05168986
1685,T Smith,10,117,155,12,0,8,68,52,15,1,75.48387097,12.91666667,19.375,62.5,9.75,43.87096774
1686,T Tereza,3,56,132,4,0,4,66,24,8,0,42.42424242,33,33,40.81632653,14,50
1687,T Touna,2,4,23,2,0,0,18,4,0,0,17.39130435,11.5,23,18.18181818,2,78.26086957
1688,T Wigradianti,2,14,26,4,0,2,14,6,0,0,53.84615385,6.5,13,30,3.5,53.84615385
1689,T Zangmo,20,264,434,18,0,13,226,133,32,5,60.82949309,24.11111111,33.38461538,53.53535354,14.66666667,52.07373272
1690,T Zilfidou,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,100
1691,TB Pawde,2,9,27,1,0,1,18,5,0,0,33.33333333,27,27,21.73913043,9,66.66666667
1692,TD Smartt,9,73,79,8,0,4,35,25,9,3,92.40506329,9.875,19.75,72.22222222,9.125,44.30379747
1693,TE Britton,16,73,244,14,0,1,162,47,11,0,29.91803279,17.42857143,244,31.36363636,5.214285714,66.39344262
1694,TH Semau,5,8,22,5,0,1,17,2,1,0,36.36363636,4.4,22,20,1.6,77.27272727
1695,TI Gajanayake,15,302,423,10,0,41,201,100,19,0,71.39479905,42.3,10.31707317,43.125,30.2,47.5177305
