,bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,bbi,dot%,avg,fantasy_points_per_match,sr,econ
220,Qanita Jalil,14,195,171,2,0,25,92,0.0,6.0,110,1,47.179487179487175,85.5,7.857142857142857,97.5,5.2615384615384615
221,Qiana Joseph,5,121,105,3,1,8,54,0.0,0.0,105,2,44.62809917355372,35.0,21.0,40.333333333333336,5.206611570247934
222,R Kanojiya,1,1,2,0,0,0,0,0.0,0.0,0,0,0.0,,0.0,,12.0
223,R Malhotra,2,37,25,2,0,1,13,0.0,0.0,58,2,35.13513513513514,12.5,29.0,18.5,4.054054054054054
224,RH Candy,1,27,11,1,0,0,15,0.0,0.0,31,1,55.55555555555556,11.0,31.0,27.0,2.4444444444444446
225,RK Parwin,2,50,36,4,0,3,26,0.0,0.0,110,2,52.0,9.0,55.0,12.5,4.32
226,RK Willis,1,12,14,0,0,2,3,0.0,0.0,0,0,25.0,,0.0,,7.0
227,RL Grundy,9,186,153,10,1,9,73,0.0,7.0,310,2,39.247311827956985,15.3,34.44444444444444,18.6,4.935483870967742
228,RS Glen,3,19,28,0,0,4,5,0.0,1.0,0,0,26.31578947368421,,0.0,,8.842105263157896
229,RS Williams,1,13,17,1,0,2,3,0.0,0.0,25,1,23.076923076923077,17.0,25.0,13.0,7.846153846153846
230,RV Hawkins,7,107,70,5,0,2,53,0.0,12.0,177,2,49.532710280373834,14.0,25.285714285714285,21.4,3.925233644859813
231,RV Scholes,3,73,37,4,0,2,39,1.0,6.0,134,3,53.42465753424658,9.25,44.666666666666664,18.25,3.041095890410959
232,Rabeya Khan,16,345,296,25,2,22,142,4.0,13.0,779,4,41.15942028985507,11.84,48.6875,13.8,5.147826086956521
233,Rachael Haynes,2,18,28,0,0,4,4,0.0,0.0,0,0,22.22222222222222,,0.0,,9.333333333333334
234,Rachel Slater,15,164,184,7,3,26,66,1.0,13.0,235,3,40.243902439024396,26.285714285714285,15.666666666666666,23.428571428571427,6.7317073170731705
235,Radha Yadav,54,873,996,47,23,96,333,5.0,31.0,1371,4,38.144329896907216,21.19148936170213,25.38888888888889,18.574468085106382,6.845360824742268
236,Raisibe Ntozakhe,5,72,107,1,4,11,23,0.0,0.0,21,1,31.944444444444443,107.0,4.2,72.0,8.916666666666666
237,Rajeshwari Gayakwad ,25,483,529,23,15,49,214,1.0,20.0,715,3,44.3064182194617,23.0,28.6,21.0,6.571428571428571
238,Rameen Shamim,5,92,98,2,0,9,34,0.0,0.0,64,1,36.95652173913043,49.0,12.8,46.0,6.391304347826087
239,Rene Farrell,22,307,287,16,2,29,125,1.0,2.0,506,4,40.71661237785016,17.9375,23.0,19.1875,5.609120521172638
240,Renuka Singh,34,610,603,30,10,73,260,4.0,28.0,932,5,42.62295081967213,20.1,27.41176470588235,20.333333333333332,5.9311475409836065
241,Ritu Moni,20,265,233,14,1,27,130,1.0,20.0,438,4,49.056603773584904,16.642857142857142,21.9,18.928571428571427,5.275471698113208
242,Rosemary Mair,17,253,251,12,2,27,97,0.0,1.0,340,2,38.3399209486166,20.916666666666668,20.0,21.083333333333332,5.952569169960475
243,Rumana Ahmed,37,707,668,42,7,53,274,4.0,24.0,1250,3,38.75530410183875,15.904761904761905,33.78378378378378,16.833333333333332,5.669024045261669
244,Rumeli Dhar,4,46,58,1,2,6,19,0.0,6.0,29,1,41.30434782608695,58.0,7.25,46.0,7.565217391304348
245,S Asha,3,26,43,0,1,5,7,0.0,1.0,0,0,26.923076923076923,,0.0,,9.923076923076923
246,S Haggo,6,57,33,5,0,3,28,0.0,1.0,147,2,49.122807017543856,6.6,24.5,11.4,3.473684210526316
247,S Ishaque,2,50,58,4,0,8,19,1.0,0.0,116,3,38.0,14.5,58.0,12.5,6.96
248,S Loubser,10,154,161,4,4,12,49,0.0,1.0,114,1,31.818181818181817,40.25,11.4,38.5,6.2727272727272725
249,S Nitschke,2,49,44,2,0,2,17,0.0,0.0,64,2,34.69387755102041,22.0,32.0,24.5,5.387755102040816
250,S Rana,12,179,158,13,1,17,81,2.0,2.0,419,3,45.2513966480447,12.153846153846153,34.916666666666664,13.76923076923077,5.29608938547486
251,S Sharma,3,20,15,1,0,3,14,0.0,7.0,45,1,70.0,15.0,15.0,20.0,4.5
252,SD Bahadur,4,48,68,1,2,8,15,0.0,1.0,29,1,31.25,68.0,7.25,48.0,8.5
253,SEA Ruck,4,50,31,4,0,4,29,0.0,2.0,120,2,57.99999999999999,7.75,30.0,12.5,3.72
254,SF Daley,14,291,223,18,1,19,141,2.0,7.0,588,4,48.45360824742268,12.38888888888889,42.0,16.166666666666668,4.597938144329897
255,SJ Andrews,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,,0.0,,6.0
256,SJ Bruce,2,28,24,1,0,3,12,0.0,0.0,37,1,42.857142857142854,24.0,18.5,28.0,5.142857142857143
257,SJ Coyte,12,185,148,14,1,14,84,2.0,2.0,454,3,45.40540540540541,10.571428571428571,37.833333333333336,13.214285714285714,4.8
258,SK Dolawatte,2,18,13,3,0,0,8,1.0,6.0,97,3,44.44444444444444,4.333333333333333,48.5,6.0,4.333333333333333
259,SK Naidu,2,19,18,0,0,1,7,0.0,0.0,2,0,36.84210526315789,,1.0,,5.684210526315789
260,SL Munroe,8,79,73,2,0,11,38,0.0,2.0,64,2,48.10126582278481,36.5,8.0,39.5,5.544303797468355
261,SL Quintyne,15,263,237,8,1,22,102,0.0,8.0,242,2,38.78326996197718,29.625,16.133333333333333,32.875,5.406844106463878
262,SM Benade,4,54,27,4,0,3,33,0.0,1.0,130,2,61.111111111111114,6.75,32.5,13.5,3.0
263,SN Pradhan,1,24,29,3,0,4,9,1.0,0.0,87,3,37.5,9.666666666666666,87.0,8.0,7.25
264,Saarah Smith,2,14,24,2,1,3,3,0.0,0.0,46,2,21.428571428571427,12.0,23.0,7.0,10.285714285714286
265,Sabikun Nahar Jesmin,2,26,27,2,0,3,9,0.0,0.0,60,2,34.61538461538461,13.5,30.0,13.0,6.230769230769231
266,Sachini Nisansala,6,71,92,2,1,12,21,0.0,1.0,68,1,29.577464788732392,46.0,11.333333333333334,35.5,7.774647887323944
267,Sadia Iqbal,29,503,435,21,4,42,231,1.0,16.0,675,3,45.92445328031809,20.714285714285715,23.275862068965516,23.952380952380953,5.188866799204772
268,Sadia Yousuf,23,491,528,25,13,37,175,1.0,0.0,723,4,35.64154786150713,21.12,31.434782608695652,19.64,6.452138492871691
269,Sajeevan Sajana,2,13,23,0,0,5,5,0.0,0.0,0,0,38.46153846153847,,0.0,,10.615384615384615
270,Salma Khatun,45,866,708,39,5,66,416,2.0,36.0,1299,3,48.03695150115473,18.153846153846153,28.866666666666667,22.205128205128204,4.905311778290993
271,Sana Mir,45,848,845,27,9,62,313,2.0,8.0,855,4,36.910377358490564,31.296296296296298,19.0,31.40740740740741,5.97877358490566
272,Sania Khan,8,144,149,9,2,16,57,1.0,2.0,291,3,39.58333333333333,16.555555555555557,36.375,16.0,6.208333333333333
273,Sanjida Akter Meghla,11,228,181,9,2,11,105,0.0,9.0,307,2,46.05263157894737,20.11111111111111,27.90909090909091,25.333333333333332,4.7631578947368425
274,Sarah Aley,2,26,35,0,1,2,3,0.0,0.0,-2,0,11.538461538461538,,-1.0,,8.076923076923077
275,Sarah Glenn,28,471,433,32,5,40,202,3.0,17.0,1038,4,42.88747346072187,13.53125,37.07142857142857,14.71875,5.515923566878981
276,Saskia Horley,4,31,42,0,1,4,8,0.0,3.0,-6,0,25.806451612903224,,-1.5,,8.129032258064516
277,Seshnie Naidu,3,43,34,0,1,1,22,0.0,6.0,12,0,51.162790697674424,,4.0,,4.744186046511628
278,Shabika Gajnabi,5,55,80,1,1,9,13,0.0,0.0,25,1,23.636363636363637,80.0,5.0,55.0,8.727272727272727
279,Shabnim Ismail,56,1086,1039,51,7,135,500,5.0,45.0,1603,5,46.04051565377532,20.372549019607842,28.625,21.294117647058822,5.740331491712707
280,Shafali Verma,13,95,97,4,1,10,36,0.0,2.0,118,1,37.89473684210527,24.25,9.076923076923077,23.75,6.126315789473685
281,Shaila Sharmin,2,25,35,0,0,3,3,0.0,0.0,0,0,12.0,,0.0,,8.4
282,Shakera Selman,35,435,481,15,8,57,179,1.0,10.0,445,3,41.14942528735632,32.06666666666667,12.714285714285714,29.0,6.63448275862069
283,Shamilia Connell,48,614,646,26,6,88,269,2.0,21.0,740,3,43.811074918566774,24.846153846153847,15.416666666666666,23.615384615384617,6.312703583061889
284,Shashikala Siriwardene,27,415,444,20,7,38,144,3.0,7.0,620,4,34.69879518072289,22.2,22.962962962962962,20.75,6.419277108433735
