,bowler,innings,balls,runs,wkts,sixes,fours,dots,three_wicket_hauls,maiden_overs,fantasy_points,bbi,dot%,avg,fantasy_points_per_match,sr,econ
53,Charlie Dean,19,205,207,10,3,20,77,0.0,5.0,290,2,37.5609756097561,20.7,15.263157894736842,20.5,6.058536585365854
54,Chathurani Gunawardene,2,49,49,3,0,3,11,0.0,0.0,87,2,22.448979591836736,16.333333333333332,43.5,16.333333333333332,6.0
55,Chedean Nation,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,,0.0,,6.0
56,Chinelle Henry,26,266,291,6,6,35,112,0.0,9.0,190,1,42.10526315789473,48.5,7.3076923076923075,44.333333333333336,6.56390977443609
57,Chloe Abel,7,70,55,3,1,4,27,0.0,3.0,95,2,38.57142857142858,18.333333333333332,13.571428571428571,23.333333333333332,4.714285714285714
58,Chloe Tryon,36,382,398,13,2,45,135,1.0,3.0,399,4,35.340314136125656,30.615384615384617,11.083333333333334,29.384615384615383,6.2513089005235605
59,D Devnarain,1,6,8,0,0,1,1,0.0,0.0,0,0,16.666666666666664,,0.0,,8.0
60,D Tucker,7,97,110,2,2,9,36,0.0,1.0,68,1,37.11340206185567,55.0,9.714285714285714,48.5,6.804123711340206
61,DP David,1,18,19,1,0,2,6,0.0,0.0,27,1,33.33333333333333,19.0,27.0,18.0,6.333333333333333
62,DP Vaidya,7,98,120,4,5,9,32,0.0,6.0,98,2,32.6530612244898,30.0,14.0,24.5,7.346938775510204
63,Dane van Niekerk,32,554,502,28,12,30,225,3.0,7.0,840,4,40.61371841155235,17.928571428571427,26.25,19.785714285714285,5.436823104693141
64,Danielle Gibson,9,112,118,4,2,10,46,0.0,1.0,122,2,41.07142857142857,29.5,13.555555555555555,28.0,6.321428571428571
65,Danielle Hazell,29,565,499,19,3,44,240,1.0,13.0,667,3,42.47787610619469,26.263157894736842,23.0,29.736842105263158,5.299115044247787
66,Danni Wyatt,14,209,177,8,1,14,89,0.0,11.0,230,2,42.58373205741627,22.125,16.428571428571427,26.125,5.08133971291866
67,Darcey Carter,5,50,65,0,2,6,15,0.0,1.0,2,0,30.0,,0.4,,7.8
68,Darcie Brown,24,345,316,14,4,47,172,0.0,15.0,426,2,49.85507246376812,22.571428571428573,17.75,24.642857142857142,5.495652173913044
69,Dayalan Hemalatha,4,56,63,2,2,5,21,0.0,0.0,56,2,37.5,31.5,14.0,28.0,6.75
70,Deandra Dottin,26,338,332,21,4,42,137,0.0,8.0,667,2,40.532544378698226,15.80952380952381,25.653846153846153,16.095238095238095,5.893491124260355
71,Deepti Sharma,75,1289,1312,68,24,125,519,5.0,33.0,2034,4,40.26377036462374,19.294117647058822,27.12,18.955882352941178,6.107059736229635
72,Delissa Kimmince,35,491,484,22,7,44,166,2.0,3.0,672,3,33.80855397148676,22.0,19.2,22.318181818181817,5.914460285132383
73,Diana Baig,35,558,525,26,5,69,271,1.0,24.0,832,3,48.5663082437276,20.192307692307693,23.771428571428572,21.46153846153846,5.645161290322581
74,E Marx,5,61,45,1,0,5,28,0.0,1.0,41,1,45.90163934426229,45.0,8.2,61.0,4.426229508196721
75,Eden Carson,14,260,232,16,3,22,106,0.0,0.0,498,2,40.76923076923077,14.5,35.57142857142857,16.25,5.3538461538461535
76,Ekta Bisht,7,148,111,11,0,6,63,2.0,6.0,335,3,42.567567567567565,10.090909090909092,47.857142857142854,13.454545454545455,4.5
77,Ellyse Perry,69,881,738,50,8,93,460,3.0,33.0,1544,4,52.213393870601585,14.76,22.3768115942029,17.62,5.026106696935301
78,Erin Bermingham,10,117,108,6,1,8,45,0.0,3.0,190,2,38.46153846153847,18.0,19.0,19.5,5.538461538461538
79,Erin Burns,3,25,18,0,0,1,12,0.0,6.0,12,0,48.0,,4.0,,4.32
80,Erin Osborne,24,278,262,16,4,14,95,2.0,4.0,494,4,34.172661870503596,16.375,20.583333333333332,17.375,5.654676258992806
81,Eshani Kaushalya,10,114,102,3,3,8,48,0.0,2.0,101,2,42.10526315789473,34.0,10.1,38.0,5.368421052631579
82,FC Leydon-Davis,1,25,23,1,0,1,7,0.0,0.0,27,1,28.000000000000004,23.0,27.0,25.0,5.52
83,FL Mackay,6,103,106,7,3,4,39,0.0,1.0,181,2,37.86407766990291,15.142857142857142,30.166666666666668,14.714285714285714,6.174757281553398
84,Fahima Khatun,47,758,735,35,6,73,308,3.0,22.0,1111,4,40.633245382585756,21.0,23.638297872340427,21.65714285714286,5.8179419525065965
85,Fariha Trisna,9,168,181,9,5,17,67,1.0,6.0,273,4,39.88095238095239,20.11111111111111,30.333333333333332,18.666666666666668,6.464285714285714
86,Fatima Sana,26,530,569,23,4,72,208,2.0,18.0,673,3,39.24528301886793,24.73913043478261,25.884615384615383,23.043478260869566,6.441509433962264
87,Fran Jonas,23,380,376,18,4,44,164,2.0,16.0,550,4,43.15789473684211,20.88888888888889,23.91304347826087,21.11111111111111,5.936842105263158
88,Freya Davies,17,255,247,13,2,28,102,2.0,3.0,425,4,40.0,19.0,25.0,19.615384615384617,5.811764705882353
89,Freya Kemp,12,108,112,7,2,17,52,0.0,3.0,199,2,48.148148148148145,16.0,16.583333333333332,15.428571428571429,6.222222222222222
90,G Jafta,3,62,44,3,0,1,27,0.0,0.0,99,1,43.54838709677419,14.666666666666666,33.0,20.666666666666668,4.258064516129032
91,G Sultana,6,104,118,3,2,13,39,0.0,1.0,97,2,37.5,39.333333333333336,16.166666666666668,34.666666666666664,6.8076923076923075
92,GA Elwiss,2,19,15,1,0,1,7,0.0,1.0,29,1,36.84210526315789,15.0,14.5,19.0,4.7368421052631575
93,Georgia Wareham,37,533,467,34,12,36,243,4.0,1.0,1072,3,45.590994371482175,13.735294117647058,28.972972972972972,15.676470588235293,5.25703564727955
94,Ghulam Fatima,4,56,64,1,1,8,19,0.0,1.0,29,1,33.92857142857143,64.0,7.25,56.0,6.857142857142857
95,Grace Harris,6,46,37,3,1,2,19,0.0,2.0,99,2,41.30434782608695,12.333333333333334,16.5,15.333333333333334,4.826086956521739
96,H Graham,1,1,4,0,0,1,0,0.0,0.0,0,0,0.0,,0.0,,24.0
97,HAM Samuddika,5,86,89,3,1,10,34,1.0,1.0,89,3,39.53488372093023,29.666666666666668,17.8,28.666666666666668,6.209302325581396
98,HJ Darlington,2,18,30,0,1,4,5,0.0,0.0,-2,0,27.77777777777778,,-1.0,,10.0
99,HL Colvin,14,263,242,10,1,14,88,0.0,6.0,300,2,33.460076045627375,24.2,21.428571428571427,26.3,5.520912547528517
100,HL Ferling,5,54,39,2,0,5,31,0.0,1.0,78,2,57.407407407407405,19.5,15.6,27.0,4.333333333333333
101,HMD Rasangika,2,3,3,0,0,0,1,0.0,1.0,8,0,33.33333333333333,,4.0,,6.0
102,Habiba Islam,1,13,18,0,0,3,3,0.0,0.0,0,0,23.076923076923077,,0.0,,8.307692307692308
103,Hannah Rainey,24,288,217,14,0,21,127,0.0,6.0,464,2,44.09722222222222,15.5,19.333333333333332,20.571428571428573,4.520833333333333
104,Hannah Rowe,26,252,317,12,2,46,94,1.0,4.0,322,3,37.301587301587304,26.416666666666668,12.384615384615385,21.0,7.5476190476190474
105,Hansima Karunaratne,1,6,15,0,0,3,0,0.0,0.0,0,0,0.0,,0.0,,15.0
106,Harleen Deol,6,35,44,4,1,7,18,0.0,3.0,108,2,51.42857142857142,11.0,18.0,8.75,7.542857142857143
107,Harmanpreet Kaur,23,215,231,14,3,25,78,1.0,2.0,434,4,36.27906976744186,16.5,18.869565217391305,15.357142857142858,6.446511627906977
108,Hayley Jensen,28,372,422,20,6,50,142,3.0,3.0,576,3,38.17204301075269,21.1,20.571428571428573,18.6,6.806451612903226
109,Hayley Matthews,47,896,902,56,11,88,363,8.0,2.0,1640,4,40.513392857142854,16.107142857142858,34.8936170212766,16.0,6.040178571428571
110,Heather Knight,21,240,254,8,0,27,77,2.0,0.0,256,3,32.083333333333336,31.75,12.19047619047619,30.0,6.35
111,Holly Huddleston,9,65,54,2,0,6,25,0.0,2.0,78,2,38.46153846153847,27.0,8.666666666666666,32.5,4.984615384615385
112,IECM Wong,8,134,88,6,1,10,74,0.0,12.0,186,2,55.223880597014926,14.666666666666666,23.25,22.333333333333332,3.9402985074626864
113,IT Guha,2,49,52,2,0,5,21,0.0,0.0,54,2,42.857142857142854,26.0,27.0,24.5,6.36734693877551
114,Inoshi Priyadharshani,26,408,393,26,5,43,188,4.0,11.0,748,4,46.07843137254902,15.115384615384615,28.76923076923077,15.692307692307692,5.779411764705882
115,Iram Javed,4,30,26,1,0,2,7,0.0,1.0,27,1,23.333333333333332,26.0,6.75,30.0,5.2
116,J Botha,1,12,9,2,1,0,7,0.0,0.0,62,2,58.333333333333336,4.5,62.0,6.0,4.5
117,J Evans,1,1,0,0,0,0,1,0.0,1.0,6,0,100.0,,6.0,,0.0
118,J Glasgow,1,1,4,0,0,1,0,0.0,0.0,0,0,0.0,,0.0,,24.0
119,J Winster,3,67,46,3,0,4,38,0.0,0.0,107,2,56.71641791044776,15.333333333333334,35.666666666666664,22.333333333333332,4.119402985074627
120,JL Hunter,10,104,96,4,0,11,47,0.0,1.0,126,2,45.19230769230769,24.0,12.6,26.0,5.538461538461538
121,JM Dibble,1,13,20,0,2,1,5,0.0,0.0,-2,0,38.46153846153847,,-2.0,,9.23076923076923
122,JM Watkin,3,45,52,2,4,2,20,0.0,2.0,50,1,44.44444444444444,26.0,16.666666666666668,22.5,6.933333333333334
123,Jahanara Alam,42,670,636,33,9,77,322,5.0,19.0,1141,5,48.059701492537314,19.272727272727273,27.166666666666668,20.303030303030305,5.695522388059701
124,Javeria Khan,2,37,35,2,0,4,16,0.0,0.0,56,2,43.24324324324324,17.5,28.0,18.5,5.675675675675675
125,Javeria Rauf,2,19,23,1,0,2,6,0.0,1.0,33,1,31.57894736842105,23.0,16.5,19.0,7.2631578947368425
126,Jemimah Rodrigues,2,2,0,0,0,0,2,0.0,2.0,0,0,100.0,,0.0,,0.0
127,Jenny Gunn,28,454,495,19,9,42,147,2.0,3.0,549,3,32.378854625550666,26.05263157894737,19.607142857142858,23.894736842105264,6.541850220264317
128,Jess Jonassen,54,898,771,44,12,66,411,5.0,24.0,1416,4,45.76837416481069,17.522727272727273,26.22222222222222,20.40909090909091,5.151447661469933
129,Jess Kerr,23,356,399,8,4,57,162,0.0,8.0,248,2,45.50561797752809,49.875,10.782608695652174,44.5,6.724719101123595
130,Jhulan Goswami,20,324,270,11,2,35,168,1.0,15.0,367,3,51.85185185185185,24.545454545454547,18.35,29.454545454545453,5.0
131,K Anjali Sarvani,5,94,137,3,4,21,37,0.0,0.0,89,2,39.361702127659576,45.666666666666664,17.8,31.333333333333332,8.74468085106383
132,K Kavindi,7,66,52,2,0,7,27,0.0,2.0,68,1,40.909090909090914,26.0,9.714285714285714,33.0,4.7272727272727275
133,K Reyneke,4,57,41,1,1,0,22,0.0,0.0,35,1,38.59649122807017,41.0,8.75,57.0,4.315789473684211
134,K Schultz,4,33,45,0,1,5,9,0.0,0.0,4,0,27.27272727272727,,1.0,,8.181818181818182
135,KA Heffernan,2,3,4,0,0,1,1,0.0,0.0,0,0,33.33333333333333,,0.0,,8.0
136,KE Broadmore,3,57,59,1,0,6,18,0.0,0.0,37,1,31.57894736842105,59.0,12.333333333333334,57.0,6.2105263157894735
137,KE Ebrahim,2,24,28,1,0,4,7,0.0,0.0,27,1,29.166666666666668,28.0,13.5,24.0,7.0
138,KH Sciver-Brunt,5,62,68,3,0,11,27,0.0,4.0,73,1,43.54838709677419,22.666666666666668,14.6,20.666666666666668,6.580645161290323
139,KL George,4,79,94,2,2,12,28,0.0,0.0,58,1,35.44303797468354,47.0,14.5,39.5,7.139240506329114
140,KL Gordon,3,74,52,7,3,2,43,1.0,6.0,197,3,58.108108108108105,7.428571428571429,65.66666666666667,10.571428571428571,4.216216216216216
141,KS Ahuja,1,6,12,0,0,2,0,0.0,0.0,0,0,0.0,,0.0,,12.0
142,Kainat Imtiaz,5,50,42,2,1,3,25,0.0,0.0,80,1,50.0,21.0,16.0,25.0,5.04
143,Karishma Ramharack,16,261,327,13,8,34,101,1.0,6.0,373,3,38.69731800766284,25.153846153846153,23.3125,20.076923076923077,7.517241379310345
144,Kate Cross,8,55,53,2,1,6,22,0.0,4.0,60,1,40.0,26.5,7.5,27.5,5.781818181818182
145,Katherine Fraser,22,313,264,18,3,25,151,4.0,17.0,610,3,48.242811501597444,14.666666666666666,27.727272727272727,17.38888888888889,5.060702875399361
146,Katherine Sciver-Brunt,62,870,772,41,3,105,428,3.0,36.0,1367,4,49.195402298850574,18.829268292682926,22.048387096774192,21.21951219512195,5.324137931034483
147,Kathryn Bryce,27,453,303,26,0,24,235,3.0,21.0,874,4,51.87637969094923,11.653846153846153,32.370370370370374,17.423076923076923,4.013245033112582
148,Katie McGill,23,250,220,16,3,15,96,0.0,3.0,470,2,38.4,13.75,20.434782608695652,15.625,5.28
149,Kavisha Dilhari,35,537,570,28,13,54,191,1.0,8.0,812,4,35.567970204841714,20.357142857142858,23.2,19.178571428571427,6.368715083798882
150,Khadija Tul Kubra,23,432,388,19,7,28,189,2.0,7.0,597,3,43.75,20.42105263157895,25.956521739130434,22.736842105263158,5.388888888888889
151,Kim Garth,5,71,87,3,1,16,35,0.0,1.0,87,2,49.29577464788733,29.0,17.4,23.666666666666668,7.352112676056338
152,Kristen Beams,10,203,150,12,1,7,91,1.0,6.0,384,3,44.827586206896555,12.5,38.4,16.916666666666668,4.433497536945813
153,L Amy Jones,3,63,34,4,0,4,45,0.0,6.0,128,2,71.42857142857143,8.5,42.666666666666664,15.75,3.238095238095238
154,L Cheatle,3,38,25,2,1,1,21,0.0,7.0,58,2,55.26315789473685,12.5,19.333333333333332,19.0,3.9473684210526314
155,L Filer,5,50,42,2,0,6,24,0.0,2.0,60,2,48.0,21.0,12.0,25.0,5.04
156,LC Sthalekar,5,75,76,2,0,8,29,0.0,0.0,60,1,38.666666666666664,38.0,12.0,37.5,6.08
157,LR Doolan,4,79,68,3,0,4,23,0.0,1.0,93,2,29.11392405063291,22.666666666666668,23.25,26.333333333333332,5.1645569620253164
158,Lata Mondal,10,86,90,2,1,11,37,0.0,1.0,76,1,43.02325581395349,45.0,7.6,43.0,6.27906976744186
159,Laura Marsh,21,380,348,13,3,28,151,1.0,11.0,447,3,39.73684210526316,26.76923076923077,21.285714285714285,29.23076923076923,5.494736842105263
160,Lauren Bell,20,213,219,8,0,31,86,1.0,8.0,234,3,40.375586854460096,27.375,11.7,26.625,6.169014084507042
161,Lea Tahuhu,53,720,723,38,11,93,318,2.0,14.0,1120,4,44.166666666666664,19.026315789473685,21.132075471698112,18.94736842105263,6.025
162,Leigh Kasperek,29,527,584,37,8,52,192,6.0,2.0,1061,3,36.43263757115749,15.783783783783784,36.58620689655172,14.243243243243244,6.648956356736243
163,Lily Rani Biswas,1,1,1,0,0,0,0,0.0,0.0,0,0,0.0,,0.0,,6.0
164,Linsey Smith,10,161,145,7,3,12,69,1.0,0.0,227,3,42.857142857142854,20.714285714285715,22.7,23.0,5.403726708074534
165,Lizelle Lee,1,12,13,0,0,1,3,0.0,0.0,2,0,25.0,,2.0,,6.5
166,M Gaur,3,4,4,0,0,1,3,0.0,3.0,0,0,75.0,,0.0,,6.0
167,M Mani,3,24,21,2,1,2,11,0.0,2.0,54,1,45.83333333333333,10.5,18.0,12.0,5.25
168,M Methtananda,1,12,23,0,0,4,2,0.0,0.0,-4,0,16.666666666666664,,-4.0,,11.5
169,M Shehani,3,25,35,0,0,5,6,0.0,1.0,0,0,24.0,,0.0,,8.4
170,MM Letsoalo,14,180,164,7,1,14,73,0.0,1.0,225,2,40.55555555555556,23.428571428571427,16.071428571428573,25.714285714285715,5.466666666666667
171,MR Meshram,1,24,14,0,0,1,14,0.0,0.0,6,0,58.333333333333336,,6.0,,3.5
172,Maddy Green,2,13,7,1,0,0,6,0.0,0.0,31,1,46.15384615384615,7.0,15.5,13.0,3.230769230769231
173,Mady Villiers,6,50,62,2,2,6,18,0.0,0.0,64,1,36.0,31.0,10.666666666666666,25.0,7.44
174,Maham Tariq,3,39,66,0,1,10,9,0.0,0.0,0,0,23.076923076923077,,0.0,,10.153846153846153
175,Mansi Joshi,4,50,76,1,0,14,17,0.0,2.0,29,1,34.0,76.0,7.25,50.0,9.12
176,Mariam Hasan,2,20,8,2,0,0,12,0.0,2.0,72,2,60.0,4.0,36.0,10.0,2.4
177,Marina Iqbal,2,25,26,1,0,3,9,0.0,0.0,39,1,36.0,26.0,19.5,25.0,6.24
178,Marizanne Kapp,55,824,712,38,4,84,386,4.0,30.0,1212,4,46.84466019417476,18.736842105263158,22.036363636363635,21.68421052631579,5.184466019417476
179,Marufa Akter,18,237,248,9,2,36,110,0.0,9.0,287,2,46.41350210970464,27.555555555555557,15.944444444444445,26.333333333333332,6.2784810126582276
