,batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,matches,surname,initial
279,Ritu Moni,113,174,23,23,13,0,7,82,61,12,0,Bangladesh,0,0,0,20,23,64.9425287356322,13.384615384615385,24.857142857142858,54.83870967741935,8.692307692307692,47.12643678160919,2012/13,2024,23,Moni,R Moni
280,Rosemary Mair,5,7,5,5,2,0,0,2,5,0,0,New Zealand,0,0,0,2,5,71.42857142857143,3.5,7.0,71.42857142857143,2.5,28.57142857142857,2019/20,2022,5,Mair,R Mair
281,Rubya Haider,16,21,3,3,2,0,3,11,4,0,0,Bangladesh,0,0,0,16,3,76.19047619047619,10.5,7.0,26.666666666666668,8.0,52.38095238095239,2023,2024,3,Haider,R Haider
282,Rumana Ahmed,114,142,16,16,10,1,10,69,41,12,1,Bangladesh,0,0,1,41,16,80.28169014084507,14.2,12.909090909090908,55.28455284552846,11.4,48.59154929577465,2012/13,2024,16,Ahmed,R Ahmed
285,S Ismail,82,106,18,18,12,1,7,52,36,6,0,South Africa,0,0,0,20,18,77.35849056603774,8.833333333333334,13.25,51.06382978723404,6.833333333333333,49.056603773584904,2011/12,2022,18,Ismail,S Ismail
286,S Lackay,1,1,1,1,0,0,0,0,1,0,0,South Africa,0,0,0,1,1,100.0,1.0,1.0,100.0,1.0,0.0,2018,2018,1,Lackay,S Lackay
287,S Loubser,12,29,4,4,2,0,0,17,12,0,0,South Africa,0,0,0,8,4,41.37931034482759,14.5,29.0,41.37931034482759,6.0,58.620689655172406,2012/13,2013/14,4,Loubser,S Loubser
288,S Meghana,40,57,6,6,3,0,5,32,18,1,0,India,0,0,0,22,6,70.17543859649122,19.0,11.4,39.21568627450981,13.333333333333334,56.14035087719298,2016/17,2022,6,Meghana,S Meghana
290,S Nitschke,72,55,3,3,3,0,10,23,14,6,2,Australia,0,0,2,37,3,130.9090909090909,18.333333333333332,5.5,71.11111111111111,24.0,41.81818181818181,2009,2010,3,Nitschke,S Nitschke
293,S Sajana,20,19,3,3,2,0,3,8,8,0,0,India,0,0,0,11,3,105.26315789473684,9.5,6.333333333333333,50.0,10.0,42.10526315789473,2024,2024,3,Sajana,S Sajana
296,SA Fritz,24,37,5,5,6,0,3,25,6,3,0,South Africa,0,0,0,17,5,64.86486486486487,6.166666666666667,12.333333333333334,35.294117647058826,4.0,67.56756756756756,2012/13,2013/14,5,Fritz,S Fritz
298,SC Selman,13,25,6,6,2,0,0,14,9,2,0,West Indies,0,0,0,4,6,52.0,12.5,25.0,52.0,6.5,56.00000000000001,2009/10,2022,6,Selman,S Selman
301,SE Aley,0,1,1,1,0,0,0,0,0,0,0,Australia,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,0.0,2017/18,2017/18,1,Aley,S Aley
307,SJ Coyte,21,19,7,7,2,0,0,4,10,4,1,Australia,0,0,0,7,7,110.5263157894737,9.5,19.0,110.5263157894737,10.5,21.052631578947366,2013,2015/16,7,Coyte,S Coyte
308,SJ Elliott,19,20,1,1,0,0,0,4,12,2,1,Australia,0,0,0,19,1,95.0,20.0,20.0,100.0,19.0,20.0,2010,2010,1,Elliott,S Elliott
313,SM Benade,9,11,3,3,2,1,0,8,1,1,0,South Africa,0,0,0,6,3,81.81818181818183,5.5,11.0,30.0,4.5,72.72727272727273,2012/13,2012/13,3,Benade,S Benade
317,Saarah Smith,0,1,1,1,1,0,0,1,0,0,0,South Africa,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,100.0,2018,2018,1,Smith,S Smith
318,Sachini Nisansala,0,1,1,1,1,0,0,1,0,0,0,Sri Lanka,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,100.0,2024,2024,1,Nisansala,S Nisansala
320,Sadia Iqbal,5,13,5,5,2,0,0,7,5,0,0,Pakistan,0,0,0,4,5,38.46153846153847,6.5,13.0,41.66666666666667,2.5,53.84615384615385,2022/23,2024,5,Iqbal,S Iqbal
325,Sarah Bryce,51,69,3,3,3,0,4,34,25,5,0,Scotland,0,0,0,29,3,73.91304347826086,23.0,17.25,54.6875,17.0,49.275362318840585,2021/22,2024,3,Bryce,S Bryce
326,Sarah Glenn,116,100,15,15,5,0,16,34,39,5,1,England,0,0,0,26,15,115.99999999999999,20.0,6.25,65.82278481012658,23.2,34.0,2020,2024,15,Glenn,S Glenn
327,Saskia Horley,11,23,2,2,2,0,1,16,5,1,0,Scotland,0,0,0,7,2,47.82608695652174,11.5,23.0,31.818181818181817,5.5,69.56521739130434,2022,2024,2,Horley,S Horley
329,Shafali Verma,762,643,52,52,36,28,89,284,190,24,0,India,0,2,8,73,52,118.50699844479004,17.86111111111111,5.495726495726496,47.791164658634536,21.166666666666668,44.16796267496112,2019/20,2024,52,Verma,S Verma
330,Shamilia Connell,13,18,9,9,2,1,0,9,7,0,0,West Indies,0,0,0,7,9,72.22222222222221,9.0,18.0,43.75,6.5,50.0,2015/16,2024,9,Connell,S Connell
333,Shathi Rani,22,29,4,4,3,0,4,20,4,1,0,Bangladesh,0,0,0,22,4,75.86206896551724,9.666666666666666,7.25,24.0,7.333333333333333,68.96551724137932,2023,2023,4,Rani,S Rani
335,Shemaine Alteia Campbelle,354,429,40,40,24,7,21,200,136,43,2,West Indies,0,0,4,43,40,82.51748251748252,17.875,15.321428571428571,59.84251968503938,14.75,46.620046620046615,2009/10,2024,40,Campbelle,S Campbelle
337,Shorna Akter,156,159,13,13,6,3,13,63,62,9,2,Bangladesh,0,0,0,28,13,98.11320754716981,26.5,9.9375,63.23529411764706,26.0,39.62264150943396,2022/23,2024,13,Akter,S Akter
338,Shreyanka Patil,12,16,3,3,1,0,1,7,4,2,0,India,0,0,0,7,3,75.0,16.0,16.0,61.53846153846154,12.0,43.75,2023/24,2024,3,Patil,S Patil
340,Sidra Ameen,262,327,29,29,18,0,25,145,122,17,2,Pakistan,0,0,3,48,29,80.1223241590214,18.166666666666668,13.08,56.64335664335665,14.555555555555555,44.342507645259936,2013/14,2024,29,Ameen,S Ameen
342,Sinalo Jafta,58,51,13,13,4,1,5,18,21,4,1,South Africa,0,0,0,16,13,113.72549019607843,12.75,8.5,72.72727272727273,14.5,35.294117647058826,2019,2024,13,Jafta,S Jafta
