,batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,debut_year,final_year,matches,surname,initial
31,Amy Jones,1110,874,65,65,48,18,136,302,328,59,4,England,0,4,9,89,65,127.00228832951946,18.208333333333332,5.675324675324675,66.08946608946609,23.125,34.55377574370709,2013/14,2024,65,Jones,A Jones
32,Anam Amin,1,4,2,2,1,0,0,2,1,0,0,Pakistan,0,0,0,1,2,25.0,4.0,4.0,33.33333333333333,1.0,50.0,2018/19,2021,2,Amin,A Amin
33,Annabel Sutherland,57,45,7,7,6,1,7,17,15,4,0,Australia,0,0,0,19,7,126.66666666666666,7.5,5.625,63.888888888888886,9.5,37.77777777777778,2019/20,2023/24,7,Sutherland,A Sutherland
34,Anneke Bosch,328,287,16,16,14,5,37,114,104,20,2,South Africa,0,2,2,61,16,114.28571428571428,20.5,6.833333333333333,62.5,23.428571428571427,39.721254355400696,2019/20,2024,16,Bosch,A Bosch
35,Annerie Dercksen,17,13,3,3,2,0,3,5,5,0,0,South Africa,0,0,0,12,3,130.76923076923077,6.5,4.333333333333333,50.0,8.5,38.46153846153847,2023/24,2024,3,Dercksen,A Dercksen
36,Arundhati Reddy,31,32,10,10,6,0,3,11,15,2,0,India,0,0,0,7,10,96.875,5.333333333333333,10.666666666666666,67.85714285714286,5.166666666666667,34.375,2018,2021,10,Reddy,A Reddy
37,Ash Gardner,802,574,43,43,32,28,90,201,202,36,0,Australia,0,4,5,93,43,139.7212543554007,17.9375,4.864406779661017,62.414578587699324,25.0625,35.01742160278746,2016/17,2023/24,43,Gardner,A Gardner
39,Ayabonga Khaka,11,22,8,8,2,0,1,12,7,0,0,South Africa,0,0,0,6,8,50.0,11.0,22.0,36.84210526315789,5.5,54.54545454545454,2017/18,2024,8,Khaka,A Khaka
42,Ayesha Zafar,63,80,9,9,8,0,9,39,21,3,0,Pakistan,0,0,0,22,9,78.75,10.0,8.88888888888889,42.857142857142854,7.875,48.75,2015/16,2024,9,Zafar,A Zafar
44,BF Smith,20,16,2,2,1,0,3,6,6,1,0,England,0,0,0,16,2,125.0,16.0,5.333333333333333,61.53846153846154,20.0,37.5,2017/18,2022,2,Smith,B Smith
47,BMSM Kumari,42,76,12,12,5,0,3,42,24,3,0,Sri Lanka,0,0,0,10,12,55.26315789473685,15.2,25.333333333333332,43.47826086956522,8.4,55.26315789473685,2014/15,2023,12,Kumari,B Kumari
52,Beth Mooney,1584,1235,59,59,36,10,208,372,512,81,6,Australia,2,14,5,117,59,128.2591093117409,34.30555555555556,5.665137614678899,71.26673532440783,44.0,30.121457489878544,2015/16,2023/24,59,Mooney,B Mooney
54,Brooke Halliday,153,184,15,15,8,0,11,81,64,21,1,New Zealand,0,0,1,33,15,83.15217391304348,23.0,16.727272727272727,65.26946107784431,19.125,44.02173913043478,2020/21,2024,15,Halliday,B Halliday
55,C Brits,72,70,3,3,3,1,7,27,28,5,0,South Africa,0,0,2,36,3,102.85714285714285,23.333333333333332,8.75,63.33333333333333,24.0,38.57142857142858,2011/12,2012/13,3,Brits,C Brits
61,CS Fraser,15,29,3,3,2,0,1,16,7,2,0,West Indies,0,0,0,8,3,51.724137931034484,14.5,29.0,44.0,7.5,55.172413793103445,2022,2024,3,Fraser,C Fraser
62,Charlie Dean,124,110,8,8,5,0,12,28,56,10,0,England,0,0,1,34,8,112.72727272727272,22.0,9.166666666666666,80.85106382978722,24.8,25.454545454545453,2022/23,2024,8,Dean,C Dean
63,Chedean Nation,246,317,23,23,16,3,17,154,97,30,1,West Indies,0,1,1,50,23,77.60252365930599,19.8125,15.85,56.73758865248227,15.375,48.580441640378545,2009/10,2024,23,Nation,C Nation
64,Chinelle Henry,197,259,24,24,17,1,15,113,97,17,0,West Indies,0,0,0,24,24,76.06177606177607,15.235294117647058,16.1875,57.70925110132159,11.588235294117647,43.62934362934363,2013/14,2024,24,Henry,C Henry
65,Chloe Abel,4,2,2,2,1,0,1,1,0,0,0,Scotland,0,0,0,4,2,200.0,2.0,2.0,0.0,4.0,50.0,2024,2024,2,Abel,C Abel
66,Chloe Tryon,501,423,40,40,28,17,45,160,148,34,1,South Africa,0,0,5,43,40,118.43971631205675,15.107142857142858,6.82258064516129,63.84839650145773,17.892857142857142,37.825059101654844,2011/12,2024,40,Tryon,C Tryon
67,D Devnarain,16,21,3,3,2,0,1,9,10,1,0,South Africa,0,0,0,9,3,76.19047619047619,10.5,21.0,60.0,8.0,42.857142857142854,2011/12,2015/16,3,Devnarain,D Devnarain
70,D Tucker,25,50,5,5,3,0,0,21,21,2,0,South Africa,0,0,0,8,5,50.0,16.666666666666668,50.0,56.81818181818182,8.333333333333334,42.0,2022,2022/23,5,Tucker,D Tucker
71,D van Niekerk,674,744,39,39,27,13,63,333,263,39,1,South Africa,0,2,5,66,39,90.59139784946237,27.555555555555557,9.789473684210526,54.088050314465406,24.962962962962962,44.75806451612903,2011/12,2021,39,Niekerk,D Niekerk
72,DM Kimmince,73,86,5,5,2,0,4,28,41,8,0,Australia,0,0,1,42,5,84.88372093023256,43.0,21.5,74.02597402597402,36.5,32.55813953488372,2014,2019/20,5,Kimmince,D Kimmince
73,DP Vaidya,35,43,4,4,1,1,1,17,21,2,0,India,0,0,0,25,4,81.3953488372093,43.0,21.5,62.5,35.0,39.53488372093023,2022/23,2023,4,Vaidya,D Vaidya
74,Dani Gibson,119,90,11,11,8,1,18,32,35,3,0,England,0,0,1,41,11,132.22222222222223,11.25,4.7368421052631575,58.57142857142858,14.875,35.55555555555556,2023,2024,11,Gibson,D Gibson
75,Danni Wyatt,1570,1245,89,89,69,22,195,426,435,94,10,England,0,11,8,87,89,126.10441767068272,18.043478260869566,5.7373271889400925,67.66839378238342,22.753623188405797,34.21686746987952,2011,2024,89,Wyatt,D Wyatt
76,Darcey Carter,0,3,1,1,1,0,0,3,0,0,0,Scotland,0,0,0,0,1,0.0,3.0,3.0,0.0,0.0,100.0,2024,2024,1,Carter,D Carter
77,Darcie Brown,6,3,2,2,0,0,1,1,0,1,0,Australia,0,0,0,6,2,200.0,3.0,3.0,100.0,3.0,33.33333333333333,2022/23,2023/24,2,Brown,D Brown
78,Dayalan Hemalatha,102,91,11,11,7,4,8,37,34,6,0,India,0,0,1,37,11,112.08791208791209,13.0,7.583333333333333,59.74025974025974,14.571428571428571,40.65934065934066,2018/19,2024,11,Hemalatha,D Hemalatha
79,Deandra Jalisa S Dottin,700,593,38,38,27,23,70,249,176,44,6,West Indies,0,3,6,90,38,118.04384485666104,21.962962962962962,6.376344086021505,59.36842105263158,25.925925925925927,41.989881956155145,2009/10,2021,38,Dottin,D Dottin
80,Deepti Sharma,518,535,45,45,24,2,43,162,262,36,0,India,0,0,5,49,45,96.82242990654206,22.291666666666668,11.88888888888889,72.60869565217392,21.583333333333332,30.2803738317757,2018,2024,45,Sharma,D Sharma
81,Diana Baig,41,59,14,14,7,0,1,21,31,3,0,Pakistan,0,0,0,8,14,69.49152542372882,8.428571428571429,59.0,67.27272727272727,5.857142857142857,35.59322033898305,2017/18,2024,14,Baig,D Baig
82,Dilara Akter,63,52,8,8,5,1,8,21,8,7,1,Bangladesh,0,0,1,39,8,121.15384615384615,10.4,5.777777777777778,67.56756756756756,12.6,40.38461538461539,2022/23,2024,8,Akter,D Akter
84,E Marx,12,13,3,3,2,0,2,7,4,0,0,South Africa,0,0,0,7,3,92.3076923076923,6.5,6.5,36.36363636363637,6.0,53.84615384615385,2023/24,2024,3,Marx,E Marx
85,EA Burns,0,1,1,1,0,0,0,1,0,0,0,Australia,0,0,0,0,1,0.0,1.0,1.0,0.0,0.0,100.0,2019/20,2019/20,1,Burns,E Burns
86,EA Osborne,17,25,6,6,5,0,1,12,11,1,0,Australia,0,0,0,15,6,68.0,5.0,25.0,54.166666666666664,3.4,48.0,2012/13,2015/16,6,Osborne,E Osborne
87,EJ Villani,556,464,29,29,19,7,67,159,169,37,1,Australia,0,5,3,90,29,119.82758620689656,24.42105263157895,6.27027027027027,67.21311475409836,29.263157894736842,34.26724137931034,2010,2018/19,29,Villani,E Villani
88,EL Watson,1,5,2,2,1,0,0,3,1,0,0,Scotland,0,0,0,1,2,20.0,5.0,5.0,25.0,1.0,60.0,2021/22,2022,2,Watson,E Watson
91,F Tunnicliffe,32,57,4,4,3,0,3,33,18,1,0,South Africa,0,0,0,18,4,56.14035087719298,19.0,19.0,38.46153846153847,10.666666666666666,57.89473684210527,2018/19,2020/21,4,Tunnicliffe,F Tunnicliffe
94,Fahima Khatun,73,81,15,15,8,1,4,26,43,4,0,Bangladesh,0,0,0,27,15,90.12345679012346,10.125,16.2,69.86301369863014,9.125,32.098765432098766,2013/14,2024,15,Khatun,F Khatun
97,Fariha Trisna,1,8,2,2,2,0,0,7,1,0,0,Bangladesh,0,0,0,1,2,12.5,4.0,8.0,12.5,0.5,87.5,2023,2024,2,Trisna,F Trisna
