Player_name,batting_style,bowling_style,role,age
Iram Javed,Right hand Bat,Right arm Medium fast,Middle order Batter,32y 285d
Muneeba Ali Siddiqi,Left hand Bat,Wicketkeeper Batter,Muneeba Ali grew up playing multiple sports but fell in love with cricket while playing in the streets of Karachi. She made her T20 debut for Balochistan at the age of 14 and T20I debut for Pakistan at 18. She incrementally improved the volume and pace at which she scored runs in international cricket to earn a spot as an opener.,27y 49d
Omaima Sohail,Umaima Sohail,Right hand Bat,Right arm Offbreak,27y 77d
Sadaf Shamas,Right hand Bat,Right arm Medium,Top order Batter,25y 271d
Sidra Amin,Right hand Bat,Right arm Medium fast,Opening Batter,32y 172d
Fatima Sana,Right hand Bat,Right arm Medium,Bowling Allrounder,22y 323d
Aliya Riaz,Right hand Bat,Right arm Medium,Allrounder,32y 2d
Nida Rashid Dar,Nida Rashid,Right hand Bat,Right arm Offbreak,37y 268d
Syeda Aroob Shah,Right hand Bat,Legbreak Googly,Allrounder,20y 270d
Diana Baig,Right hand Bat,Right arm Medium,Bowler,28y 347d
Nashra Sandhu,Right hand Bat,Slow Left arm Orthodox,Bowler,26y 312d
Sadia Iqbal,Left hand Bat,Slow Left arm Orthodox,Bowler,29y 52d
Tasmia Rubab,Right hand Bat,Left arm Medium fast,Bowler,21y 281d
Tuba Hassan,Right hand Bat,Legbreak,Bowler,23y 344d
Sarah Jennifer Bryce,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,24y 262d
Ailsa Lister,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,20y 171d
Kathryn Emma Bryce,Right hand Bat,Right arm Medium,Allrounder,26y 314d
Olivia Bell,Right hand Bat,Right arm Offbreak,Allrounder,20y 319d
Darcey Elizabeth Morris Carter,Right hand Bat,Right arm Offbreak,Allrounder,19y 118d
Katherine Fraser,Right hand Bat,Right arm Offbreak,Allrounder,19y 170d
Saskia Horley,Right hand Bat,Right arm Offbreak,Allrounder,24y 216d
Abtaha Mahin Maqsood,Right hand Bat,Legbreak,Bowler,25y 107d
Rachel Elizabeth Slater,Right hand Bat,Left arm Medium,Bowler,22y 311d
Chloe Grace Abel,Right hand Bat,Right arm Medium,Batting & Fielding,20y 298d
Abbi Aitken-Drummond,Right hand Bat,Right arm Medium," (wife),",33y 168d
Priyanaz Anjum Chatterji,Right hand Bat,Right arm Medium,Batting & Fielding,31y 45d
Lorna Jack,Right hand Bat,Wicketkeeper,Batting & Fielding,31y 307d
Megan McColl,Right hand Bat,Right arm Medium,Batting & Fielding,23y 316d
Hannah R A Rainey,Right hand Bat,Right arm Medium,Batting & Fielding,27y 116d
Laura Wolvaardt,Right hand Bat,Opening Batter,Batting & Fielding,25y 153d
Tazmin Brits,Tazz,Right hand Bat,Occasional Wicketkeeper,33y 262d
Mieke de Ridder,Right hand Bat,Wicketkeeper,Wicketkeeper Batter,28y 251d
Sinalo Jafta,Right hand Bat,Wicketkeeper,Wicketkeeper,29y 279d
Anneke Elizabeth Bosch,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,31y 40d
Nadine de Klerk,Right hand Bat,Right arm Medium,Allrounder,24y 254d
Annerie Dercksen,Right hand Bat,Right arm Medium,Allrounder,23y 153d
Marizanne Kapp,Kappie,Right hand Bat,Right arm Medium,34y 266d
Sune Luus,Right hand Bat,Legbreak,Allrounder,28y 265d
Seshnie Naidu,Right hand Bat,Legbreak,Allrounder,18y 265d
Chloe-Lesleigh  Tryon,Right hand Bat,Slow Left arm Orthodox,Allrounder,30y 245d
Ayanda Hlubi,Right hand Bat,Right arm Medium,Bowler,20y 72d
Ayabonga Khaka,Right hand Bat,Right arm Medium,Bowler,32y 70d
Nonkululeko Mlaba,Right hand Bat,Slow Left arm Orthodox,Bowler,24y 91d
Tumi Sphindile Sekhukhune,Stumza,Left hand Bat,Right arm Fast medium,25y 310d
