batsman,runs,ball,innings,matches_x,dismissals,sixes,fours,dots,ones,twos,threes,batting_team,hundreds,fifties,thirties,highest_score,matches_y,fantasy_points,SR,BPD,BPB,nbdry_sr,AVG,dot_percentage,fantasy_points_per_match,debut_year,final_year,matches
Deandra Dottin,700,593,38,38,27,23,70,249,176,44,6,West Indies,,3,6,90,38,2006,118.0438449,21.96296296,6.376344086,59.36842105,25.92592593,41.98988196,52.78947368,2009/10,2021,38
Deepti Sharma,648,642,51,51,28,5,53,190,310,48,0,India,,1,6,64,51,1135,100.9345794,22.92857143,11.06896552,74.08759124,23.14285714,29.59501558,22.25490196,2018,2024,51
Diana Baig,41,59,14,14,7,0,1,21,31,3,0,Pakistan,,,,8,14,26,69.49152542,8.428571429,59,67.27272727,5.857142857,35.59322034,1.857142857,2017/18,2024,14
Dilara Akter,96,74,9,9,6,2,12,28,13,10,1,Bangladesh,,,2,39,9,209,129.7297297,12.33333333,5.285714286,69.23076923,16,37.83783784,23.22222222,2022/23,2024,9
Disha Biswas,0,2,1,1,1,0,0,2,0,0,0,Bangladesh,,,,0,1,-2,0,2,2,0,0,100,-2,2012/13,2012/13,1
Eden Carson,1,2,2,2,0,0,0,1,1,0,0,New Zealand,,,,1,2,7,50,2,2,50,0.5,50,3.5,2022/23,2023/24,2
Ellyse Perry,931,801,50,50,33,25,78,267,361,47,3,Australia,,5,7,75,50,1965,116.2297129,24.27272727,7.776699029,68.43657817,28.21212121,33.33333333,39.3,2013,2023/24,50
Fahima Khatun,148,133,23,23,11,1,13,35,59,14,1,Bangladesh,,,1,32,23,340,111.2781955,12.09090909,9.5,82.56880734,13.45454545,26.31578947,14.7826087,2013/14,2024,23
Fatima Sana,85,83,14,14,7,2,8,33,31,5,0,Pakistan,,,,23,14,236,102.4096386,11.85714286,8.3,59.42028986,12.14285714,39.75903614,16.85714286,2021,2024,14
Fran Jonas,6,19,2,2,0,0,0,14,4,1,0,New Zealand,,,,4,2,3,31.57894737,19,19,31.57894737,3,73.68421053,1.5,2022,2023,2
Freya Kemp,108,92,10,10,6,5,9,33,30,6,0,England,,1,,51,10,162,117.3913043,15.33333333,6.571428571,60.86956522,18,35.86956522,16.2,2022,2024,10
Georgia Plimmer,61,74,12,12,8,0,5,33,25,8,0,New Zealand,,,,17,12,185,82.43243243,9.25,14.8,62.12121212,7.625,44.59459459,15.41666667,2022,2024,12
Georgia Wareham,141,93,11,11,7,0,20,24,32,13,1,Australia,,1,1,57,11,235,151.6129032,13.28571429,4.65,87.14285714,20.14285714,25.80645161,21.36363636,2020/21,2023/24,11
Grace Harris,397,239,21,21,12,18,41,60,96,13,1,Australia,,1,4,64,21,623,166.1087866,19.91666667,4.050847458,73.52941176,33.08333333,25.10460251,29.66666667,2015,2023/24,21
Gull Feroza,53,72,8,8,3,0,7,37,19,3,0,Pakistan,,,,25,8,313,73.61111111,24,10.28571429,42.37288136,17.66666667,51.38888889,39.125,2022,2024,8
Hannah Rainey,8,25,6,6,3,0,0,17,8,0,0,Scotland,,,,5,6,-2,32,8.333333333,25,32,2.666666667,68,-0.333333333,2021/22,2023/24,6
Hannah Rowe,40,52,7,7,6,0,3,25,16,6,0,New Zealand,,,,14,7,162,76.92307692,8.666666667,17.33333333,59.57446809,6.666666667,48.07692308,23.14285714,2018,2024,7
Hansima Karunaratne,80,132,9,9,6,0,6,68,42,7,0,Sri Lanka,,,,25,9,135,60.60606061,22,22,47.86324786,13.33333333,51.51515152,15,2018/19,2024,9
Harmanpreet Kaur,1619,1406,77,77,60,39,167,516,570,69,3,India,1,6,17,103,77,3146,115.1493599,23.43333333,6.825242718,61.91709845,26.98333333,36.69985775,40.85714286,2010,2024,77
Harshitha Samarawickrama,465,576,35,35,29,6,34,243,227,33,0,Sri Lanka,,,5,40,35,731,80.72916667,19.86206897,14.4,58.25049702,16.03448276,42.1875,20.88571429,2012/13,2019/20,35
Hasini Perera,496,607,44,44,32,1,52,284,205,37,1,Sri Lanka,,,5,46,44,767,81.71334432,18.96875,11.45283019,53.51043643,15.5,46.78747941,17.43181818,2014/15,2024,44
Hayley Matthews,999,925,57,57,37,24,119,408,264,50,5,West Indies,1,5,9,107,57,2754,108,25,6.468531469,52.13204952,27,44.10810811,48.31578947,2014/15,2024,57
Heather Knight,1380,1119,67,67,50,27,146,348,470,76,4,England,1,6,7,108,67,2413,123.3243968,22.38,6.468208092,70.6013363,27.6,31.09919571,36.01492537,2012,2024,67
Inoka Ranaweera,49,89,17,17,8,0,3,47,33,2,0,Sri Lanka,,,,18,17,34,55.05617978,11.125,29.66666667,45.12195122,6.125,52.80898876,2,2012/13,2022/23,17
Inoshi Priyadharshani,2,5,4,4,1,0,0,3,2,0,0,Sri Lanka,,,,1,4,4,40,5,5,40,2,60,1,2014/15,2019/20,4
Iram Javed,114,159,28,28,19,2,11,81,44,7,0,Pakistan,,,,21,28,386,71.69811321,8.368421053,12.23076923,43.93939394,6,50.94339623,13.78571429,2013,2024,28
Isabella Gaze,114,105,7,7,3,2,10,37,49,5,1,New Zealand,,1,,51,7,186,108.5714286,35,8.75,67.39130435,38,35.23809524,26.57142857,2022,2024,7
